"","cty_name","iso3numeric","id","year","eiacty","oil_prod32_14","oil_price_2000","oil_price_nom","oil_value_nom","oil_value_2000","oil_value_2014","gas_prod55_14","gas_price_2000_mboe","gas_price_2000","gas_price_nom","gas_value_nom","gas_value_2000","gas_value_2014","oil_gas_value_nom","oil_gas_value_2000","oil_gas_value_2014","oil_gas_valuePOP_nom","oil_gas_valuePOP_2000","oil_gas_valuePOP_2014","oil_exports","net_oil_exports","net_oil_exports_mt","net_oil_exports_value","net_oil_exports_valuePOP","gas_exports","net_gas_exports_bcf","net_gas_exports_mboe","net_gas_exports_value","net_gas_exports_valuePOP","net_oil_gas_exports_valuePOP","population","pop_maddison","sovereign","mult_nom_2000","mult_nom_2014","mult_2000_2014"
"3026","Italy",380,"ITA",1994,"Italy",4895000,18.26323,15.8173152,567530805.43632,659438628.179044,906578763.534228,134.7391655044,13479751.8853629,2.4898839662,1.85,1563114559.23094,1816250520.24,2496933119.39336,2130645364.66726,2475689148.41904,3403511882.92759,37.5093644162,43.5837554148,59.9177928099,21.03342,-1740.42807,-86673317.886,-11601830921.4161,-204.246709069,1.17,-1028.47,-192.1246336976,-2589792393.30952,-45.5925083798,-249.8392174488,56803025,57179460,1,1.1619433198,1.5974089069,1.3747735192
"3027","Madagascar",450,"MDG",1979,"Madagascar",0,74.01507,31.61,0,0,0,0,23003312.7208218,4.2490084388,1.18,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8453131,8453131,1,2.3719008264,3.2608264463,1.3747735192
"3028","East Timor",626,"TMP",2013,"Timor-Leste (East Timor)",3947024.994,80.3195300542,108.6585177866,3143674900.82166,2323780001.98101,3194671211.0858,NA,14835996.8499363,2.7403998971,3.7072900048,NA,NA,NA,3143674900.82166,2323780001.98101,3194671211.0858,2663.9754970444,1969.1899388773,2707.1901821722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1180069,NA,1,0.7391922114,1.0162218779,1.3747735192
"3029","United Arab Emirates",784,"ARE",1968,"United Arab Emirates",NA,8.797903,1.8,NA,NA,NA,4.0124206439,14955265.6366302,2.7624303797,0.16,12129190.427275,60006816.576,82495782.398002,12129190.427275,60006816.576,82495782.398002,74.3351398077,367.7586831812,505.5848990801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163169,190974,0,4.947306,6.80142528,1.3747735192
"3030","Slovenia",705,"SVN",1940,"Slovenia",NA,12.37774,1.02,NA,NA,NA,NA,0,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12.270972,16.86980736,1.3747735192
"3031","Spain",724,"ESP",1999,"Spain",3e+05,18.55794,17.9700778,39516201.0822,40844476.7488286,56151905.0383895,3.1297055308,11295988.7923191,2.0865147679,2.19,34203423.6848752,35353118.5986525,48602531.2692834,73719624.7670752,76197595.3474811,104754436.307673,1.8458794205,1.9079257875,2.6229658492,0,-1181.73926,-58850615.148,-8004685893.19441,-200.4308215656,0,-537.56493,-100.4204938062,-1134348772.55453,-28.4031702753,-228.833991841,39937400,39953263,1,1.0336134454,1.4209843938,1.3747735192
"3032","Slovenia",705,"SVN",1965,"Slovenia",NA,9.708031,1.8,NA,NA,NA,NA,16590994.960253,3.0645706751,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1620052,1620052,0,5.451852,7.49506176,1.3747735192
"3033","Thailand",764,"THA",1948,"Thailand",NA,14.06798,1.99,NA,NA,NA,NA,0,NA,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18569000,18569000,1,7.148022,9.82691136,1.3747735192
"3034","Bangladesh",50,"BGD",1972,"Bangladesh",0,10.08942,2.48,0,0,0,3.0824229988,13591757.1614495,2.5105727848,0.19,10175485.0309742,41895544.869,57596885.6568385,10175485.0309742,41895544.869,57596885.6568385,0.1493501593,0.6149197098,0.8453753334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68131732,70676996,1,4.117302,5.66035776,1.3747735192
"3035","Malta",470,"MLT",1948,"Malta",NA,14.06798,1.99,NA,NA,NA,NA,0,NA,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7.148022,9.82691136,1.3747735192
